lambda,weight,lambda_lo,lambda_hi,min_telluric_model_all_obs
5160.316634341898,0.5065741410400844,5159.800297106645,5160.83302324662,1.0
5160.564288787522,0.19179691231017154,5160.047926772159,5161.080702474833,1.0
5160.5657644090725,0.18856108683847853,5160.049402246061,5161.082178244048,1.0
5161.6456815437705,0.5278152103136987,5161.1292113250975,5162.16220344522,1.0
5161.645718745012,0.5479075586032034,5161.129248522617,5162.162240650185,1.0
5164.866273667019,0.7074569482435699,5164.349481198424,5165.383117850639,1.0
5164.866281434686,0.7225269249856254,5164.349488965314,5165.383125619082,1.0
5167.1383860318465,0.32433193425420204,5166.62136621747,5167.655457583997,1.0
5167.138404514776,0.3039746334219078,5166.62138469855,5167.655476068776,1.0
5168.003011190804,0.5997994229933397,5167.485904862711,5168.520169265327,1.0
5168.003370674212,0.5853425637584431,5167.486264310151,5168.520528784709,1.0
5171.249758125541,0.5096233572360582,5170.732326930497,5171.767241099526,1.0
5171.249847673087,0.4985375571702586,5170.732416469084,5171.767330656033,1.0
5173.354288422683,0.2989531545342409,5172.836646649988,5173.87198199539,1.0
5174.1972039044485,0.8993777831758517,5173.6794777902915,5174.714981827058,1.0
5176.338242118761,0.5995013917997506,5175.820301774,5176.856234293413,1.0
5179.1557121003525,0.4608893261599745,5178.637489841754,5179.6739862170525,1.0
5181.3952398714455,0.20192775970811191,5180.876793527455,5181.913738095962,1.0
5182.659469653976,0.3815920285041362,5182.140896812145,5183.178094388991,1.0
5187.156979143634,0.3632990538659612,5186.637956284531,5187.676053940954,1.0
5188.504697160446,0.5823354612040053,5187.985539449735,5189.023906822868,1.0
5189.1497855196385,0.15293806064111254,5188.630563261892,5189.6690597355555,1.0
5190.514143253383,0.4213668925304013,5189.994784479072,5191.033553999526,1.0
5194.0652247708285,0.8336162341185523,5193.545510678086,5194.58499087096,1.0
5194.594548115256,0.18335344321482466,5194.074781058835,5195.114367184366,1.0
5194.9555610140715,0.8271229721479751,5194.435757834983,5195.475416209463,1.0
5195.5754010721585,0.6781560647553411,5195.0555358723595,5196.095318294467,1.0
5196.6497205600235,0.09879272622208077,5196.129747864659,5197.169745288654,1.0
5198.081519782192,0.6883600389989807,5197.561403822121,5198.601687789866,1.0
5198.6650936387,0.5533263126208693,5198.144919286686,5199.185320044159,1.0
5199.764157205312,0.20521522664118733,5199.24387288186,5200.284493593214,1.0
5200.1792118632175,0.6498565306477507,5199.658886009722,5200.69958978532,1.0
5200.539980563376,0.3211200379683679,5200.019618611647,5201.0603945873245,1.0
5201.320550923504,0.7446786513158756,5200.800110868517,5201.841043058525,1.0
5202.77377768504,0.18571365348427915,5202.253192221323,5203.294415243343,1.0
