lambda,weight,lambda_lo,lambda_hi,min_telluric_model_all_obs
5175.629147597272,0.3373086089555508,5175.111278203953,5176.147068813382,1.0
5177.276926713976,0.4545351711853649,5176.75889244517,5177.795012822071,1.0
5179.195109743423,0.3710688835011717,5178.676883542727,5179.713387802614,1.0
5188.251350812947,0.14151201574219033,5187.7322184518725,5188.770535123195,1.0
5192.7131194550175,0.2871567679641565,5192.193540652873,5193.2327502510125,1.0
5194.575516217614,0.22163516334362293,5194.055751065509,5195.095333382216,1.0
5194.756737861439,0.2944981378093964,5194.2369545764395,5195.2765731607515,1.0
5198.655123367708,0.3570194109368622,5198.134950013312,5199.17534877545,1.0
5212.24951826171,0.2567338492249985,5211.727984662823,5212.771104050063,1.0
5214.852032003817,0.25028467915000524,5214.330237999446,5215.3738782237115,1.0
5214.852046124259,0.2610951291051903,5214.330252118474,5215.373892345567,1.0
5218.113115580288,0.7628709406603715,5217.590995274451,5218.6352881343,1.0
5218.639411086602,0.3842569958852844,5218.11723812005,5219.1616363066005,1.0
5220.4237678646605,0.6857156732360958,5219.901416356769,5220.946171643865,1.0
5221.008248761936,0.2483642704739744,5220.485838771344,5221.530711029693,1.0
5223.904926050509,0.3294967746408555,5223.3822262206595,5224.427678186527,1.0
5227.26329303231,0.6905545574578371,5226.740257166894,5227.786381237521,1.0
5229.099044578577,0.5270507908982467,5228.575825029302,5229.622316486029,1.0
5235.348524073626,0.4734721933183972,5234.824679206334,5235.872421361671,1.0
5239.683964400287,0.2828377651728251,5239.159685732235,5240.2082955325,1.0
5243.218177155944,0.7740758630712149,5242.693544857337,5243.7428619541015,1.0
5244.078016910425,0.26824567578433606,5243.553298576925,5244.602787752083,1.0
5247.776862906873,0.8647000276702019,5247.251774469744,5248.302003889197,1.0
5250.935994751686,0.8486357840499914,5250.410590214302,5251.461451865896,1.0
5251.646323830779,0.19110135192390665,5251.120848218425,5252.171852027072,1.0
5253.747329327533,0.2949415297302951,5253.2216434902175,5254.273067769826,1.0
5254.189321964731,0.6830196593089363,5253.663591901978,5254.715104636885,1.0
5263.607459979543,0.21472071125532044,5263.0807875452865,5264.134185117503,1.0
5265.53016471649,0.2131100312721267,5265.003299897906,5266.05708225803,1.0
5267.998158754472,0.2257128493541584,5267.471046990339,5268.525323266272,1.0
5269.0609050805215,0.19331723056996847,5268.533686978825,5269.5881759405265,1.0
5272.727692481334,0.29453633355110265,5272.200107483766,5273.255330273925,1.0
5276.482641330713,0.6580769599781706,5275.954680615909,5277.010654878139,1.0
5284.834820323267,0.29280376493107,5284.306023895983,5285.363669666802,1.0
5285.856603506325,0.2652635805887697,5285.327704840217,5286.385555098914,1.0
5293.312014238205,0.24765672395293345,5292.782369589547,5293.841711887994,1.0
5295.277063760952,0.17754280284465054,5294.74722249098,5295.806958051731,1.0
5296.043870156351,0.2756992422458365,5295.513952160331,5296.573841180855,1.0
5296.0441006179935,0.2898706301883435,5295.514182598915,5296.57407166556,1.0
5296.508157024902,0.43846774952761897,5295.978192572703,5297.038174510235,1.0
5301.479820638151,0.7921665703099485,5300.94935872519,5302.010335634026,1.0
5303.034571467013,0.7679795671838119,5302.503953986904,5303.5652420456045,1.0
5303.034879389895,0.7523417668121078,5302.504261878975,5303.5655499993,1.0
5313.588463662194,0.2493715027749509,5313.056790167909,5314.120190360635,1.0
5320.770309668189,0.21748588853998055,5320.237917564025,5321.30275504842,1.0
5321.843188032594,0.37803352146896857,5321.310688577063,5322.375740774935,1.0
5322.777092949294,0.6657577451548196,5322.244500047968,5323.309739146779,1.0
5329.876092871913,0.6306449865610733,5329.3427896502235,5330.409449460844,1.0
5330.522057757615,0.3757046224624825,5329.988689901185,5331.055478987754,1.0
5330.7259022875705,0.5315960223374518,5330.1925140346175,5331.259343916275,1.0
5337.523885914353,0.621867150490514,5336.98981746049,5338.058007812035,1.0
5339.044945075569,0.12922804292965706,5338.510724425719,5339.579219184467,1.0
5340.668605913712,0.7650521347717991,5340.134222801632,5341.203042501098,1.0
5341.183458007899,0.1829821057060404,5340.649023380122,5341.717946116137,1.0
5343.4387199249295,0.3422253073408473,5342.904059637414,5343.973433715488,1.0
5343.439063033002,0.338200243766092,5342.904402711155,5343.973776857894,1.0
5351.8048635950345,0.21523307309270326,5351.269366197745,5352.3404145791355,1.0
5366.140973525686,0.7107291764991109,5365.60404166848,5366.677959113248,1.0
5370.705917701277,0.7564529228013258,5370.1685290793375,5371.243360099282,1.0
5378.3487164887765,0.392377740983517,5377.810563134384,5378.88692369576,1.0
5380.317433998733,0.5871178609603218,5379.779083656011,5380.855838213758,1.0
5384.114783666499,0.7740903000359499,5383.576053363947,5384.653567879376,1.0
5387.0745492032975,0.3176451123920693,5386.535522748927,5387.613629597629,1.0
5390.2243416675765,0.6484432588370364,5389.685000047442,5390.76373725921,1.0
5390.224524908879,0.6330730539084799,5389.685183270411,5390.76392051885,1.0
5393.913423290616,0.7597940537909624,5393.373712543868,5394.453188045802,1.0
5393.913805912016,0.7406330806569141,5393.374095126984,5394.45357070549,1.0
5395.96064884327,0.18196346812980654,5395.420733252739,5396.500618462737,1.0
5398.361791270664,0.2430952023317955,5397.821635423706,5398.902001170602,1.0
5399.025141239865,0.5922591939052844,5398.484919018628,5399.565417520722,1.0
5399.025396257946,0.5944688895593115,5398.485174011193,5399.565672564323,1.0
5429.886996091524,0.2347764637216868,5429.343685857296,5430.430360694389,1.0
5442.088263931713,0.28025850361594234,5441.543732848194,5442.632849506038,1.0
5442.088280657385,0.27588051604109803,5441.543749572193,5442.6328662333835,1.0
5454.39498585985,0.2140645038435896,5453.849223375387,5454.940802958344,1.0
5462.302635601821,0.2049242130880028,5461.756081884127,5462.849244012724,1.0
5474.655807688066,0.6245969442458026,5474.108017921661,5475.20365227137,1.0
5474.978176702133,0.37093889870629865,5474.430354679737,5475.526053544656,1.0
5481.261734771014,0.15368214443847178,5480.713284020726,5481.810240404346,1.0
5490.905701952041,0.5503136896223899,5490.356286233961,5491.455172649729,1.0
5490.905729549133,0.5192423034771882,5490.356313828292,5491.455200249582,1.0
5494.2543546267525,0.3513377184731325,5493.704603845112,5494.80416042153,1.0
5495.2194995110995,0.2713272919006505,5494.669652157819,5495.769401887181,1.0
5495.219559437377,0.2454532052080131,5494.6697120781,5495.7694618194555,1.0
5503.828723963654,0.39918045524751744,5503.278015178126,5504.379487858185,1.0
5504.652421520951,0.3306866203248624,5504.101630316892,5505.203267842261,1.0
5513.7407008512755,0.7223586630596394,5513.189000281114,5514.292456629687,1.0
5515.294564822958,0.7242389974403527,5514.742708774386,5515.846476095338,1.0
5523.205886538763,0.39866324639746586,5522.653238889545,5523.758589491004,1.0
5527.572271130138,0.6057110635660405,5527.019186583902,5528.125411023117,1.0
5529.171222523628,0.8618443491705041,5528.61797798757,5529.72452242244,1.0
5529.922399585726,0.15742229355526366,5529.369079887481,5530.475774654247,1.0
5535.600413270545,0.2910642300238213,5535.046525434704,5536.154356533515,1.0
5535.601019809637,0.2653999278619305,5535.047131913107,5536.154963133303,1.0
5538.54716104091,0.7027367582938953,5537.992978355798,5539.101399182657,1.0
5538.549615514088,0.7771942900443569,5537.995432583383,5539.103853901452,1.0
5540.042190184531,0.1867813687679632,5539.487857907975,5540.59657793269,1.0
5543.952912553448,0.5052047914721847,5543.398188973079,5544.507691644578,1.0
5544.6990420176635,0.5262218259376628,5544.144243780165,5545.253895773393,1.0
5547.2695929437905,0.4330788643044456,5546.714537498983,5547.824703932568,1.0
5560.975933760277,0.4537009428152844,5560.419506869757,5561.5324163320065,1.0
5563.472887866095,0.4920995344784824,5562.916211132306,5564.029620306096,1.0
5566.471181620027,0.6089594907371869,5565.9142048793165,5567.02821409697,1.0
5570.3865935658205,0.7420603663984716,5569.829225052061,5570.944017855017,1.0
5576.858111561459,0.7608862346074536,5576.3000955126845,5577.416183450468,1.0
5579.4848115323075,0.5993211063435175,5578.926532657994,5580.043146273158,1.0
5585.532908434547,0.32772722156930645,5584.974024392401,5586.0918484037875,1.0
5587.526300900559,0.7119185093031476,5586.967217401127,5588.085440347047,1.0
5588.341108927694,0.32934950522996304,5587.781943899209,5588.900329911392,1.0
5588.341586186067,0.32741614981070283,5587.782421109828,5588.900807217524,1.0
5588.626390488736,0.5638757536822445,5588.067196915203,5589.1856400203405,1.0
5588.626547807517,0.5786675851026626,5588.067354218242,5589.185797354864,1.0
5590.124778002555,0.2276394522460053,5589.565434501542,5590.684177476642,1.0
5594.5047191381045,0.3498928276584543,5593.944937383616,5595.064556909521,1.0
5594.505125845521,0.3266435209465481,5593.9453440503385,5595.064963657637,1.0
5615.5463651264645,0.3094169828769684,5614.984477961381,5616.108308519163,1.0
5619.404715445522,0.4534708578320141,5618.842442216932,5619.96704494036,1.0
5620.369986466462,0.2842126173717504,5619.80761665361,5620.9324125552275,1.0
5624.795461428008,0.4246676042880953,5624.232648805602,5625.358330370638,1.0
5625.646223508901,0.2036459962232045,5625.083325759909,5626.2091775866365,1.0
5626.089855356233,0.3200334350447336,5625.526913217786,5626.652853827865,1.0
5628.403717882453,0.5144293535037361,5627.840544220737,5628.966947900523,1.0
5629.415914362088,0.19448159822959865,5628.852639420786,5629.979245669879,1.0
5634.72025507364,0.4978050917836084,5634.156449384166,5635.284117182714,1.0
5636.595980336897,0.3389580229692521,5636.031986963824,5637.160030148351,1.0
5637.470187878475,0.2220221970507384,5636.906107032882,5638.034325171204,1.0
5649.339768477992,0.2633322497433941,5648.774499971473,5649.905093550495,1.0
5650.761317546733,0.2724603658812503,5650.195906801129,5651.3267848725545,1.0
5651.460641315365,0.2715246914086601,5650.895160595974,5652.026178621976,1.0
5652.244887236565,0.1780206110363508,5651.679328046142,5652.81050302206,1.0
5653.093495272719,0.2456796622987893,5652.527851171241,5653.659195977766,1.0
5654.640971313376,0.3337190612972343,5654.075172372659,5655.206826873156,1.0
5655.952068564089,0.390865483327325,5655.38613843601,5656.51805532436,1.0
5658.216720776162,0.2095697923739403,5657.6505640487585,5658.782934158433,1.0
5658.64581982443,0.5036743860840793,5658.079620161712,5659.212076146311,1.0
5662.929367780306,0.4580420664908397,5662.362739509139,5663.496052753527,1.0
5663.29561387163,0.6629904579787436,5662.728948954166,5663.862335494815,1.0
5667.923069494747,0.2195401890518398,5667.355941557703,5668.490254183846,1.0
5669.80910853858,0.2913274859040424,5669.241791885949,5670.376481962152,1.0
5779.24642921291,0.2811544722236171,5778.668162347802,5779.824753944737,1.0
5782.542714502062,0.21166732883870093,5781.964117813233,5783.121369090615,1.0
5785.451096958047,0.2770281103681028,5784.87220925875,5786.030042586189,1.0
5785.761688743589,0.3551907894496081,5785.182769966722,5786.340665452411,1.0
5793.861810255871,0.2508184819204868,5793.282080987199,5794.441597537604,1.0
5794.708040628017,0.3134740856082168,5794.128226686198,5795.2879125913705,1.0
6040.551800867555,0.34364681415310216,6039.947387991899,6041.156274226342,1.0
6056.833749709971,0.5027773437207212,6056.227707675283,6057.439852390818,1.0
6079.322902554233,0.5084382433049863,6078.71461027255,6079.931255707256,1.0
6082.274279248961,0.41018032182725983,6081.66569165484,6082.882927743973,1.0
6083.542111070446,0.4235862609264083,6082.933396618067,6084.15088643641,1.0
6087.1103305242,0.3100130390935798,6086.501259038581,6087.719462959133,1.0
6091.042915330741,0.5827377455716201,6090.433450353771,6091.652441296402,1.0
6094.474336370029,0.24115436115916805,6093.864528047761,6095.084205715346,1.0
6103.554872221252,0.8080287607947609,6102.944155307688,6104.165650248786,1.0
6111.905723100605,0.2509042577690329,6111.2941706074525,6112.517336791345,1.0
6120.364692618969,0.4720541600601938,6119.75229372796,6120.977152792262,1.0
6127.055283888578,0.5183025950766638,6126.4422155422535,6127.668413584178,1.0
6128.743940705983,0.4156312814104871,6128.130703393982,6129.357239384169,1.0
6129.811206437941,0.3121099780145178,6129.197862336168,6130.424611916585,1.0
6137.834252491185,0.6351194388593047,6137.2201056097165,6138.448460829858,1.0
